iter	Passed	Remaining
1136	10103	12111
1137	10110	12101
1138	10120	12093
1139	10129	12084
1140	10138	12075
1141	10149	12068
1142	10156	12058
1143	10166	12050
1144	10174	12040
1145	10183	12031
1146	10190	12020
1147	10198	12011
1148	10206	12001
1149	10215	11991
1150	10222	11981
1151	10231	11972
1152	10239	11962
1153	10248	11953
1154	10256	11943
1155	10264	11933
1156	10271	11923
1157	10281	11914
1158	10291	11908
1159	10300	11898
1160	10310	11891
1161	10319	11882
1162	10328	11873
1163	10337	11865
1164	10347	11857
1165	10354	11846
1166	10364	11839
1167	10373	11830
1168	10382	11821
1169	10394	11815
1170	10404	11808
1171	10414	11800
1172	10429	11798
1173	10440	11791
1174	10449	11783
1175	10457	11773
1176	10464	11762
1177	10472	11752
1178	10480	11742
1179	10488	11732
1180	10497	11723
1181	10504	11713
1182	10513	11704
1183	10521	11694
1184	10529	11684
1185	10536	11673
1186	10544	11663
1187	10551	11652
1188	10558	11642
1189	10566	11632
1190	10573	11621
1191	10584	11614
1192	10592	11604
1193	10604	11598
1194	10611	11588
1195	10623	11582
1196	10633	11574
1197	10641	11565
1198	10651	11557
1199	10658	11547
1200	10668	11539
1201	10679	11532
1202	10689	11524
1203	10700	11518
1204	10709	11509
1205	10718	11500
1206	10729	11494
1207	10739	11486
1208	10749	11478
1209	10758	11469
1210	10768	11461
1211	10778	11454
1212	10787	11445
1213	10796	11436
1214	10803	11425
1215	10812	11417
1216	10819	11406
1217	10828	11397
1218	10838	11389
1219	10849	11382
1220	10858	11374
1221	10868	11366
1222	10878	11358
1223	10885	11348
1224	10895	11340
1225	10902	11329
1226	10912	11321
1227	10919	11311
1228	10930	11303
1229	10937	11293
1230	10946	11284
1231	10954	11274
1232	10962	11264
1233	10971	11255
1234	10980	11246
1235	10988	11237
1236	10996	11227
1237	11004	11217
1238	11011	11207
1239	11019	11197
1240	11028	11188
1241	11037	11179
1242	11044	11169
1243	11054	11160
1244	11062	11151
1245	11073	11144
1246	11082	11135
1247	11091	11127
1248	11100	11118
1249	11109	11109
1250	11117	11099
1251	11125	11090
1252	11135	11082
1253	11143	11072
1254	11153	11064
1255	11161	11054
1256	11170	11046
1257	11178	11036
1258	11192	11032
1259	11200	11022
1260	11210	11014
1261	11220	11006
1262	11230	10999
1263	11240	10991
1264	11250	10983
1265	11257	10972
1266	11265	10963
1267	11273	10953
1268	11283	10945
1269	11290	10935
1270	11298	10925
1271	11306	10915
1272	11317	10908
1273	11326	10899
1274	11337	10892
1275	11346	10883
1276	11356	10876
1277	11366	10868
1278	11374	10858
1279	11386	10852
1280	11398	10846
1281	11406	10836
1282	11418	10830
1283	11430	10825
1284	11439	10816
1285	11451	10810
1286	11462	10803
1287	11470	10794
1288	11482	10787
1289	11492	10780
1290	11502	10771
1291	11512	10763
1292	11520	10753
1293	11531	10747
1294	11540	10738
1295	11549	10729
1296	11560	10722
1297	11570	10714
1298	11580	10706
1299	11591	10699
1300	11601	10691
1301	11610	10683
1302	11621	10676
1303	11633	10669
1304	11645	10663
1305	11656	10656
1306	11666	10649
1307	11678	10642
1308	11688	10635
1309	11698	10626
1310	11709	10619
1311	11719	10612
1312	11728	10603
1313	11738	10595
1314	11749	10587
1315	11759	10579
1316	11768	10571
1317	11778	10563
1318	11790	10556
1319	11799	10548
1320	11809	10540
1321	11819	10532
1322	11829	10523
1323	11841	10518
1324	11853	10511
1325	11862	10502
1326	11872	10494
1327	11881	10485
1328	11892	10478
1329	11903	10471
1330	11912	10462
1331	11922	10454
1332	11931	10445
1333	11940	10437
1334	11951	10429
1335	11959	10419
1336	11970	10412
1337	11981	10405
1338	11990	10396
1339	12001	10389
1340	12011	10381
1341	12020	10372
1342	12031	10365
1343	12039	10355
1344	12050	10348
1345	12060	10339
1346	12071	10332
1347	12081	10324
1348	12092	10317
1349	12103	10310
1350	12113	10302
1351	12122	10293
1352	12133	10285
1353	12144	10279
1354	12154	10270
1355	12164	10262
1356	12175	10255
1357	12184	10246
1358	12194	10238
1359	12203	10229
1360	12213	10220
1361	12223	10213
1362	12231	10203
1363	12242	10195
1364	12250	10186
1365	12261	10179
1366	12272	10171
1367	12282	10163
1368	12291	10154
1369	12302	10147
1370	12312	10139
1371	12323	10132
1372	12334	10124
1373	12345	10117
1374	12359	10112
1375	12373	10107
1376	12384	10100
1377	12396	10093
1378	12417	10094
1379	12427	10085
1380	12436	10077
1381	12448	10070
1382	12458	10062
1383	12468	10054
1384	12481	10048
1385	12494	10042
1386	12505	10035
1387	12517	10028
1388	12530	10022
1389	12539	10013
1390	12551	10006
1391	12564	10000
1392	12574	9993
1393	12585	9985
1394	12594	9976
1395	12604	9968
1396	12615	9960
1397	12626	9952
1398	12636	9945
1399	12649	9938
1400	12659	9930
1401	12669	9922
1402	12681	9915
1403	12692	9908
1404	12703	9900
1405	12717	9895
1406	12730	9889
1407	12743	9883
1408	12754	9875
1409	12765	9868
1410	12778	9862
1411	12788	9853
1412	12797	9845
1413	12810	9838
1414	12820	9830
1415	12831	9822
1416	12842	9815
1417	12853	9808
1418	12864	9800
1419	12876	9793
1420	12890	9788
1421	12899	9779
1422	12911	9771
1423	12924	9766
1424	12934	9757
1425	12943	9748
1426	12953	9739
1427	12961	9730
1428	12969	9720
1429	12978	9711
1430	12989	9703
1431	12999	9695
1432	13008	9685
1433	13017	9676
1434	13024	9665
1435	13033	9657
1436	13041	9647
1437	13049	9637
1438	13057	9627
1439	13065	9617
1440	13073	9607
1441	13082	9598
1442	13090	9588
1443	13110	9588
1444	13117	9576
1445	13123	9565
1446	13132	9556
1447	13139	9546
1448	13147	9536
1449	13156	9526
1450	13165	9517
1451	13172	9507
1452	13181	9498
1453	13188	9488
1454	13199	9479
1455	13207	9469
1456	13217	9462
1457	13228	9454
1458	13237	9445
1459	13249	9437
1460	13258	9428
1461	13266	9418
1462	13274	9409
1463	13282	9399
1464	13292	9391
1465	13300	9380
1466	13309	9371
1467	13316	9361
1468	13327	9354
1469	13337	9345
1470	13348	9337
1471	13358	9328
1472	13368	9320
1473	13380	9313
1474	13390	9305
1475	13399	9296
1476	13425	9298
1477	13434	9289
1478	13444	9281
1479	13453	9271
1480	13461	9262
1481	13471	9253
1482	13479	9243
1483	13488	9234
1484	13497	9225
1485	13508	9217
1486	13516	9207
1487	13525	9199
1488	13534	9189
1489	13542	9180
1490	13551	9170
1491	13558	9160
1492	13568	9151
1493	13576	9141
1494	13584	9132
1495	13591	9121
1496	13600	9112
1497	13609	9103
1498	13619	9094
1499	13627	9084
1500	13635	9075
1501	13644	9065
1502	13653	9056
1503	13660	9046
1504	13670	9037
1505	13677	9027
1506	13686	9018
1507	13694	9008
1508	13702	8998
1509	13710	8989
1510	13720	8980
1511	13727	8970
1512	13736	8961
1513	13744	8951
1514	13752	8941
1515	13760	8931
1516	13768	8921
1517	13776	8912
1518	13784	8902
1519	13791	8892
1520	13800	8882
1521	13808	8872
1522	13816	8863
1523	13825	8854
1524	13833	8844
1525	13841	8834
1526	13848	8824
1527	13858	8815
1528	13865	8805
1529	13873	8795
1530	13880	8785
1531	13888	8775
1532	13896	8765
1533	13903	8755
1534	13912	8746
1535	13921	8737
1536	13929	8727
1537	13935	8716
1538	13944	8707
1539	13951	8696
1540	13960	8687
1541	13967	8677
1542	13977	8668
1543	13984	8658
1544	13992	8649
1545	14000	8639
1546	14009	8630
